Siruta,Localitate,Judet,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
128436,Priseaca,OT,1,0,1,0,1
128472,Radomiresti,OT,1,0,2,0,1
128524,Redea,OT,2,0,3,0,2
128560,Rotunda,OT,1,0,2,1,1
128588,Rusanesti,OT,2,0,4,1,2
128613,Scarisoara,OT,2,0,2,1,2
128659,Schitu,OT,2,5,2,41,2
128711,Oras Scornicesti,OT,5,13,7,40,5
128864,Seaca,OT,2,0,2,1,2
128882,Samburesti,OT,1,0,1,0,1
128962,Spineni,OT,1,0,1,12,1
129040,Sprancenata,OT,1,0,1,1,1
129095,Stoenesti,OT,1,0,1,0,1
129111,Stoicanesti,OT,1,0,1,1,1
129139,Strejesti,OT,1,0,1,1,1
129184,Studina,OT,1,0,2,0,1
129246,Serbanesti,OT,1,0,2,1,1
129282,Stefan Cel Mare,OT,1,0,1,1,1
129317,Tatulesti,OT,1,0,1,0,1
129380,Teslui,OT,1,0,2,1,1
129460,Tia Mare,OT,1,0,1,1,1
129503,Topana,OT,1,0,1,0,1
129567,Traian,OT,1,0,2,1,1
129585,Tufeni,OT,2,0,2,1,2
129629,Urzica,OT,1,0,1,1,1
129656,Valea Mare,OT,2,0,2,0,2
129718,Vadastra,OT,2,0,1,0,2
129745,Vadastrita,OT,2,0,2,1,2
129763,Valeni,OT,1,0,1,1,1
129816,Verguleasa,OT,2,0,2,0,2
129898,Visina,OT,2,0,2,1,2
129914,Vitomiresti,OT,1,0,1,1,1
129987,Valcele,OT,2,0,1,1,2
130026,Vladila,OT,2,0,3,1,2
130062,Voineasa,OT,1,0,1,0,1
130124,Vulpeni,OT,2,0,2,0,2
130231,Vulturesti,OT,2,0,2,0,2
130286,Balteni,OT,1,0,1,0,1
130295,Calui,OT,1,0,1,0,1
130302,Gavanesti,OT,1,0,1,0,1
130311,Ghimpeteni,OT,1,0,2,1,1
130320,Gradinile,OT,1,0,1,1,1
130339,Gura Padinii,OT,1,0,1,1,1
130348,Ipotesti,OT,1,0,2,0,1
130357,Osica De Jos,OT,1,0,1,0,1
130366,Sarbii - Magura,OT,1,0,1,1,1
130375,Visina Noua,OT,1,0,1,1,1
130384,Soparlita,OT,1,1,1,9,1
130534,Municipiul Ploiesti,PH,175,389,1012,1953,132
130552,Barcanesti,PH,5,0,8,0,5
130614,Berceni,PH,2,0,5,0,2
130678,Blejoi,PH,4,0,15,0,4
130712,Brazi,PH,9,0,14,0,4
130785,Bucov,PH,4,0,11,0,4
130847,Paulesti,PH,6,0,22,0,3
130892,Targsoru Vechi,PH,3,0,8,0,3
130954,Oras Azuga,PH,3,19,18,52,3
130981,Oras Baicoi,PH,11,15,28,58,11
131069,Oras Boldesti-Scaeni,PH,6,2,27,13,6
131103,Oras Breaza,PH,11,7,30,31,9
131210,Oras Busteni,PH,5,16,26,33,5
131256,Municipiul Campina,PH,33,103,160,444,29
131274,Poiana Campina,PH,7,0,33,0,2
131336,Oras Comarnic,PH,5,0,12,0,5
131407,Oras Mizil,PH,4,13,27,44,5
131443,Oras Plopeni,PH,11,0,63,5,4
131461,Dumbravesti,PH,1,0,4,0,1
131540,Oras Sinaia,PH,7,30,34,80,7
131577,Oras Slanic,PH,2,0,14,1,2
131620,Oras Urlati,PH,4,8,15,76,6
131817,Oras Valenii De Munte,PH,6,20,51,107,9
131835,Gura Vitioarei,PH,2,0,5,0,2
131899,Adunati,PH,1,0,5,0,1
131933,Albesti-Paleologu,PH,2,0,6,0,2
131988,Alunis,PH,1,0,4,0,1
132011,Apostolache,PH,1,0,4,0,1
132075,Aricestii Rahtivani,PH,5,1,18,23,5
132137,Aricestii Zeletin,PH,1,0,2,0,1
132164,Baba Ana,PH,2,0,3,1,2
132226,Balta Doamnei,PH,1,0,3,0,1
132271,Baltesti,PH,1,0,3,0,1
132315,Banesti,PH,3,0,8,0,3
132342,Bertea,PH,2,0,3,0,2
132379,Boldesti-Gradistea,PH,1,0,2,0,1
132404,Brebu,PH,4,0,10,0,4
132459,Calugareni,PH,1,0,1,0,1
132486,Carbunesti,PH,1,0,1,0,1
132510,Ceptura,PH,2,0,5,0,2
132574,Cerasu,PH,2,0,4,0,2
132645,Chiojdeanca,PH,1,0,1,0,1
132681,Ciorani,PH,3,0,9,0,3
132716,Cocorastii Mislii,PH,3,0,4,0,3
132752,Colceag,PH,2,0,4,0,2
132805,Cornu,PH,2,0,4,0,2
132841,Cosminele,PH,0,0,0,0,0
132896,Drajna,PH,3,8,9,34,3
133018,Draganesti,PH,4,0,5,0,4
133090,Dumbrava,PH,2,0,4,0,2
133161,Filipestii De Padure,PH,5,0,17,0,5
133214,Filipestii De Targ,PH,3,0,8,5,3
