Code,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
ALB,2.25392529017399,-0.6682783202545739,-0.23899326257715997,-0.512861256283618,1.5434756661231344,1.3594990728860508,0.3608310537059799,-1.116279186360731,-0.8618641550048333,0.13529144295124756,-0.2668846000218634,-0.08730095190724756
AUT,0.5383925979639065,0.9105580170404027,-0.020190616936257753,-0.06688375281506195,-0.6706765914525918,0.37154795590684286,-0.813255950060983,0.2185915605276314,0.5889874785967759,0.6944627347173811,0.3033316679442132,0.0441127322008238
BLR,-1.0998610915132703,-2.029623218580975,0.7146097176164966,-1.557580417333294,-0.6924305573559811,0.5230593686860829,0.20336345403696074,0.34046506394546344,0.05147056320053091,0.21352228783948182,-0.030574259074409922,0.036365922127401314
BEL,-0.41609257723803084,2.3438177486222616,-0.044275217614962586,-0.37715233876244747,0.3642207008870286,-0.5154460092267164,-0.010365460795528518,0.08316245197430468,0.020288187185585126,-0.013197299035253357,0.021423934897422336,0.03172092994289725
BIH,0.3111331044315714,-2.9893191647015405,-2.971073521661378,0.25528438829657196,0.7365187390082875,-1.5462910087519837,0.16377955467655533,0.6079262712875948,0.9303468230485252,-0.27343367970790633,-0.24001131817073157,0.007810472186304083
BGR,2.1866183455766763,-0.7208244747906208,-0.712818502862936,-0.1745571830038486,0.27956677210158243,0.8094045138487833,-0.15953892734964675,0.1726266428389439,-0.4015712160466524,-0.35877489277979085,0.5797764743727599,0.04161787952836036
HRV,0.17307617456172877,-1.877793263334936,-1.5189923021222749,-0.5127073119140331,0.17642969067631212,-0.3168985745801725,0.20144494014965275,0.5176364151678743,0.6125891957644904,0.06884035612593348,-0.20916020550691627,-0.02655746176342793
CZE,-0.7372236210835569,0.22408216444442444,-0.9588610341979957,0.29000391718744506,-1.4778089127660654,-0.12905762161539824,-0.8610718539826647,-0.2569200556643258,-0.11044866290183572,-0.1503763725328672,-0.2457136761881906,0.043664714874307266
CYP,6.2456340901013885,-0.02624090177981098,1.606059878483339,1.4067879541990613,-0.5646545548062021,0.5695851025465664,0.22192745346817205,-0.2393670008486264,0.3288795151221699,0.39089775106896013,-0.6808096476963544,0.02836362142587002
DNK,-2.3884816331998033,1.9096439873988027,-0.7738936298048757,1.0128810495499103,-0.37649528488533623,1.0291420948404342,0.6316869573460904,0.022841258567370022,0.37733001094690166,-0.09531118085902016,-0.10091865954177717,0.05785136628354541
GBR,-1.3944199534111192,2.3142928761978494,-0.07813586253687477,-0.5814974677579812,0.746482072285879,-0.6734935623754056,0.42162483436606807,-0.3475616273741295,0.014173620272417625,0.13274653020630953,-0.37563826933362554,0.05671726753977941
EST,-1.363674643678787,-1.5938686662015833,2.36248423158171,1.182518796708825,0.06374859032246252,-0.6940328973367529,0.047890081590380676,-0.7952148293279294,0.5469451909410891,-1.048153728175455,0.36210158666138287,-0.024938767700321513
FIN,-2.9902100159969396,-1.1163160084655308,2.7831463769729816,1.9664904520383575,2.356804047298273,0.9286170512363231,-0.31464895581529695,1.06753718250703,0.4069000438423185,0.3254555863340993,0.10984629094951845,0.005492084186893513
