,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,152.25025536261512,357.32877936670144,345.25906537282947,1444.1701991828375,72.72076098059232
NrMedici_Public,357.32877936670144,866.9341164453568,788.5182584269666,3477.216675178767,171.11044433095012
PersonalMediu_privat,345.25906537282947,788.5182584269666,823.2706843718092,3174.911389172626,162.91087844739533
PersonalMediu_public,1444.1701991828375,3477.216675178767,3174.911389172626,14218.863891726358,693.1428753830454
MediciFamilie,72.72076098059232,171.11044433095012,162.91087844739533,693.1428753830454,35.205822267620015
