,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9942940188833331,0.997992561687894,0.9971874195328247,0.9996708813812137
NrMedici_Public,0.9942940188833332,0.9999999999999998,0.9986762179368281,0.9993354335791658,0.9955455142709351
PersonalMediu_privat,0.9979925616878941,0.9986762179368281,1.0,0.9996039523161394,0.9986036330862574
PersonalMediu_public,0.9971874195328247,0.9993354335791658,0.9996039523161394,0.9999999999999999,0.9977225580145236
MediciFamilie,0.9996708813812137,0.9955455142709351,0.9986036330862574,0.9977225580145236,1.0
