,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1144.2325761987981,4934.927392739275,1589.7152009318634,8222.695010677538,443.3121723937078
NrMedici_Public,4934.927392739275,21365.452145214713,6845.356435643546,35501.39273927388,1900.4851485148472
PersonalMediu_privat,1589.7152009318634,6845.356435643546,2218.5331974373926,11425.394001164826,617.1811298776938
PersonalMediu_public,8222.695010677538,35501.39273927388,11425.394001164826,59384.1344399148,3195.30110658125
MediciFamilie,443.3121723937078,1900.4851485148472,617.1811298776938,3195.30110658125,174.50902737332552
