,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9694456125387231,0.9580178719482593,0.9830388914659325,0.9965660647734392
NrMedici_Public,0.9694456125387231,1.0,0.9604755843408491,0.9871776515497203,0.9612894058960038
PersonalMediu_privat,0.9580178719482592,0.9604755843408491,0.9999999999999998,0.9658122960337099,0.9639388402616207
PersonalMediu_public,0.9830388914659324,0.9871776515497203,0.96581229603371,1.0,0.9748432109873046
MediciFamilie,0.9965660647734393,0.9612894058960039,0.9639388402616207,0.9748432109873046,1.0
