,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.913582989102241,0.9963250805958139,0.9894858132806316,0.9953161649879552
NrMedici_Public,0.9135829891022409,1.0,0.9187439454143566,0.9523718528567949,0.9312862023698963
PersonalMediu_privat,0.9963250805958138,0.9187439454143566,1.0,0.9885201990662025,0.9908064947181145
PersonalMediu_public,0.9894858132806317,0.9523718528567948,0.9885201990662025,1.0,0.9948737362302751
MediciFamilie,0.9953161649879553,0.9312862023698965,0.9908064947181145,0.9948737362302752,0.9999999999999998
