,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,0.9999999999999999,0.9632321421661089,0.946668072826434,0.9259410724753763,0.9104842697115861
NrMedici_Public,0.9632321421661089,1.0,0.9637295813063662,0.9824449587898352,0.9456448288742165
PersonalMediu_privat,0.9466680728264338,0.9637295813063662,0.9999999999999998,0.9513531672847793,0.9802439487413969
PersonalMediu_public,0.9259410724753763,0.9824449587898352,0.9513531672847793,0.9999999999999999,0.9335753722232208
MediciFamilie,0.9104842697115861,0.9456448288742165,0.9802439487413968,0.9335753722232208,0.9999999999999999
