,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,640.9994714587731,1028.2251585623665,2707.8472515856242,6010.8911205074,362.5422832980974
NrMedici_Public,1028.2251585623665,1661.989429175469,4347.9312896405945,9664.010570824506,581.1966173361524
PersonalMediu_privat,2707.8472515856242,4347.9312896405945,11450.483615221981,25414.557082452477,1530.3942917547574
PersonalMediu_public,6010.8911205074,9664.010570824506,25414.557082452477,56449.05919661737,3397.012684989431
MediciFamilie,362.5422832980974,581.1966173361524,1530.3942917547574,3397.012684989431,205.19873150105704
