,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,612.9927884615364,1663.0781250000023,2132.1586538461543,6297.150240384612,465.78365384615375
NrMedici_Public,1663.0781250000023,4563.943750000014,5821.8281250000055,17219.51874999992,1265.6999999999973
PersonalMediu_privat,2132.1586538461543,5821.8281250000055,7446.1033653846225,22000.47596153848,1621.6502403846173
PersonalMediu_public,6297.150240384612,17219.51874999992,22000.47596153848,65054.772596153736,4789.04471153845
MediciFamilie,465.78365384615375,1265.6999999999973,1621.6502403846173,4789.04471153845,354.1596153846153
