,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,27.273179556761615,127.11126187245586,346.25734961555844,536.0762098597918,18.22207146087745
NrMedici_Public,127.11126187245586,661.8249660786978,1635.8837630031658,2678.3536861148827,86.93260967887825
PersonalMediu_privat,346.25734961555844,1635.8837630031658,4619.522840343735,7019.742198100406,219.5101763907734
PersonalMediu_public,536.0762098597918,2678.3536861148827,7019.742198100406,11297.485300768878,354.44934418814955
MediciFamilie,18.22207146087745,86.93260967887825,219.5101763907734,354.44934418814955,13.037087290818631
