,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9926029975961232,0.9977648586999422,0.9949243514889046,0.9895101742515593
NrMedici_Public,0.9926029975961234,1.0,0.9981138710004293,0.9988454955172232,0.9656771357902032
PersonalMediu_privat,0.9977648586999422,0.9981138710004291,0.9999999999999999,0.9987758832673249,0.9790681458685033
PersonalMediu_public,0.9949243514889046,0.9988454955172232,0.9987758832673248,1.0,0.9731204068032101
MediciFamilie,0.9895101742515593,0.9656771357902031,0.9790681458685033,0.9731204068032101,0.9999999999999999
