,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,254.17371794871792,126.46666666666665,229.1846153846154,359.6448717948717,43.72307692307692
NrMedici_Public,126.46666666666665,269.6820512820514,121.40000000000003,660.0820512820512,25.656410256410243
PersonalMediu_privat,229.1846153846154,121.40000000000003,253.73333333333332,404.1333333333334,38.32307692307692
PersonalMediu_public,359.6448717948717,660.0820512820512,404.1333333333334,1842.766666666666,66.08205128205127
MediciFamilie,43.72307692307692,25.656410256410243,38.32307692307692,66.08205128205127,9.271794871794873
