,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,5520.5750151240045,7232.9452510586825,6549.614640048394,14180.869026013312,2046.8169993950403
NrMedici_Public,7232.9452510586825,9530.480641258308,8579.897761645494,18728.801270417443,2688.242891712042
PersonalMediu_privat,6549.614640048394,8579.897761645494,7773.2522686025395,16808.41016333939,2424.4694494857813
PersonalMediu_public,14180.869026013312,18728.801270417443,16808.41016333939,36945.050514216564,5297.706291591044
MediciFamilie,2046.8169993950403,2688.242891712042,2424.4694494857813,5297.706291591044,766.3862673926196
