,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,129.3752563226242,249.78947368420964,301.7134313055363,1022.9381408065599,64.95232399179731
NrMedici_Public,249.78947368420964,496.2368421052631,586.6184210526327,2029.697368421057,125.55263157894679
PersonalMediu_privat,301.7134313055363,586.6184210526327,714.2522214627468,2397.171736158577,151.99914559125065
PersonalMediu_public,1022.9381408065599,2029.697368421057,2397.171736158577,8357.016404648013,514.7558099794925
MediciFamilie,64.95232399179731,125.55263157894679,151.99914559125065,514.7558099794925,32.84142173615857
