,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,41.89273235499655,99.39937106918254,161.34940600978328,369.42243186582823,24.380503144654032
NrMedici_Public,99.39937106918254,251.5754716981129,385.98742138364787,926.0660377358505,57.14150943396228
PersonalMediu_privat,161.34940600978328,385.98742138364787,626.8329839273242,1426.9266247379435,93.49685534591188
PersonalMediu_public,369.42243186582823,926.0660377358505,1426.9266247379435,3468.091194968552,211.78301886792426
MediciFamilie,24.380503144654032,57.14150943396228,93.49685534591188,211.78301886792426,14.443396226415091
