,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1664.7469306930675,3849.539504950504,2494.6926732673296,7159.478811881186,664.6800000000004
NrMedici_Public,3849.539504950504,8947.362178217854,5782.506237623776,16601.72722772281,1536.5800000000056
PersonalMediu_privat,2494.6926732673296,5782.506237623776,3786.6483168317004,10804.092970297008,995.6599999999994
PersonalMediu_public,7159.478811881186,16601.72722772281,10804.092970297008,31022.025346534745,2855.419999999988
MediciFamilie,664.6800000000004,1536.5800000000056,995.6599999999994,2855.419999999988,266.16
