,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9235104890139078,0.9938506364736343,0.9590733507273685,0.9949867200432164
NrMedici_Public,0.9235104890139079,1.0,0.9429833911029174,0.9885403023454784,0.9264365030069206
PersonalMediu_privat,0.9938506364736343,0.9429833911029174,1.0,0.9756420124739117,0.9842814465733695
PersonalMediu_public,0.9590733507273684,0.9885403023454783,0.9756420124739117,1.0,0.9588925559483724
MediciFamilie,0.9949867200432165,0.9264365030069206,0.9842814465733696,0.9588925559483725,1.0
