,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,7540.15017760374,13847.649892013736,11081.95861872551,25247.975349661978,2906.1720999960417
NrMedici_Public,13847.649892013736,26781.172012875206,20647.460706751357,48636.4405824533,5367.628392637885
PersonalMediu_privat,11081.95861872551,20647.460706751357,17703.1138540746,38926.23177841063,4306.634756484553
PersonalMediu_public,25247.975349661978,48636.4405824533,38926.23177841063,93128.61308136547,9980.195315256513
MediciFamilie,2906.1720999960417,5367.628392637885,4306.634756484553,9980.195315256513,1138.2321723519563
