,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,0.9999999999999998,0.9980850933707818,0.9977671633721759,0.9975204612163971,0.9920728244372631
NrMedici_Public,0.9980850933707817,1.0,0.9942762296431175,0.9966763008186665,0.98423654649409
PersonalMediu_privat,0.997767163372176,0.9942762296431173,0.9999999999999999,0.9954123031638962,0.9919064727985177
PersonalMediu_public,0.997520461216397,0.9966763008186665,0.9954123031638961,1.0,0.9925848117067735
MediciFamilie,0.9920728244372632,0.9842365464940901,0.9919064727985176,0.9925848117067735,0.9999999999999999
