Siruta,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
1017,82.36100628930818,183.72304306821755,231.72650110028292,703.5993710691824,58.25117887456775
1071,-8.881784197001252e-16,-10.276956931782458,-12.27349889971707,-27.40062893081761,-1.7488211254322539
1151,-2.6389937106918246,9.723043068217542,3.7265011002829294,0.0,0.2511788745677461
1213,5.361006289308175,35.72304306821754,33.72650110028293,154.59937106918238,8.251178874567746
1348,7.361006289308175,44.72304306821754,26.72650110028293,122.59937106918238,8.251178874567746
1455,-2.6389937106918246,26.723043068217542,5.726501100282929,60.59937106918239,0.2511788745677461
1696,3.3610062893081754,19.723043068217542,5.726501100282929,47.59937106918239,6.251178874567746
1794,1.3610062893081754,-9.276956931782458,6.726501100282929,-22.40062893081761,4.251178874567746
1874,19.361006289308175,41.72304306821754,48.72650110028293,130.59937106918238,16.251178874567746
1936,-2.6389937106918246,-10.276956931782458,-0.27349889971707064,-27.40062893081761,0.2511788745677461
2130,-5.638993710691825,-10.276956931782458,-12.27349889971707,-27.40062893081761,-2.748821125432254
2309,-5.638993710691825,-10.276956931782458,-13.27349889971707,-27.40062893081761,-2.748821125432254
2381,-5.638993710691825,-10.276956931782458,-12.27349889971707,-27.40062893081761,-2.748821125432254
2577,-5.638993710691825,-10.276956931782458,-13.27349889971707,-27.40062893081761,-2.748821125432254
2915,-3.6389937106918246,-10.276956931782458,-10.27349889971707,-27.40062893081761,-0.7488211254322539
2988,-5.638993710691825,-10.276956931782458,-13.27349889971707,-26.40062893081761,-2.748821125432254
3039,-4.638993710691825,-10.276956931782458,-10.27349889971707,-27.40062893081761,-1.7488211254322539
3397,-5.638993710691825,-10.276956931782458,-13.27349889971707,-27.40062893081761,-2.748821125432254
3459,-5.638993710691825,-10.276956931782458,-12.27349889971707,-27.40062893081761,-2.748821125432254
3761,-5.638993710691825,-10.276956931782458,-12.27349889971707,-27.40062893081761,-2.748821125432254
3805,-5.638993710691825,-10.276956931782458,-13.27349889971707,-26.40062893081761,-2.748821125432254
3841,-6.638993710691825,-10.276956931782458,-13.27349889971707,-27.40062893081761,-3.748821125432254
3958,-4.638993710691825,-10.276956931782458,-12.27349889971707,-26.40062893081761,-1.7488211254322539
4008,-5.638993710691825,-10.276956931782458,-13.27349889971707,-27.40062893081761,-2.748821125432254
4106,-5.638993710691825,-10.276956931782458,-12.27349889971707,-27.40062893081761,-2.748821125432254
4142,-5.638993710691825,-10.276956931782458,-12.27349889971707,-26.40062893081761,-2.748821125432254
4188,-4.638993710691825,-10.276956931782458,-10.27349889971707,-26.40062893081761,-1.7488211254322539
4240,-4.638993710691825,-10.276956931782458,-11.27349889971707,-27.40062893081761,-1.7488211254322539
4268,-5.638993710691825,-10.276956931782458,-11.27349889971707,-26.40062893081761,-2.748821125432254
4302,-5.638993710691825,-10.276956931782458,-12.27349889971707,-27.40062893081761,-2.748821125432254
4366,-2.6389937106918246,-8.276956931782458,-7.273498899717071,9.59937106918239,0.2511788745677461
4482,-5.638993710691825,-9.276956931782458,-13.27349889971707,-22.40062893081761,-2.748821125432254
4525,-5.638993710691825,-10.276956931782458,-12.27349889971707,-27.40062893081761,-2.748821125432254
4703,-5.638993710691825,-10.276956931782458,-11.27349889971707,-27.40062893081761,-2.748821125432254
4767,-5.638993710691825,-10.276956931782458,-12.27349889971707,-27.40062893081761,-2.748821125432254
4927,-1.6389937106918246,-10.276956931782458,-6.273498899717071,-26.40062893081761,1.2511788745677461
4981,-5.638993710691825,-10.276956931782458,-14.27349889971707,-27.40062893081761,-2.748821125432254
5103,-2.6389937106918246,-10.276956931782458,-10.27349889971707,-27.40062893081761,0.2511788745677461
5167,-5.638993710691825,-10.276956931782458,-13.27349889971707,-27.40062893081761,-2.748821125432254
5210,-5.638993710691825,-10.276956931782458,-12.27349889971707,-27.40062893081761,-2.748821125432254
5309,-5.638993710691825,-10.276956931782458,-12.27349889971707,-27.40062893081761,-2.748821125432254
5336,-5.638993710691825,-10.276956931782458,-12.27349889971707,-26.40062893081761,-2.748821125432254
5577,-5.638993710691825,-10.276956931782458,-11.27349889971707,-27.40062893081761,-2.748821125432254
5700,-4.638993710691825,-10.276956931782458,-11.27349889971707,-27.40062893081761,-1.7488211254322539
5755,-5.638993710691825,-10.276956931782458,-13.27349889971707,-27.40062893081761,-2.748821125432254
