,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,0.9999999999999998,0.990222587017581,0.8885829087664481,0.9886664980522825,0.9939183860398871
NrMedici_Public,0.9902225870175809,1.0,0.8691402019001154,0.983107284443865,0.9757904274454108
PersonalMediu_privat,0.8885829087664481,0.8691402019001154,1.0,0.9119784978507364,0.9158039957732641
PersonalMediu_public,0.9886664980522823,0.983107284443865,0.9119784978507363,1.0,0.982307767878808
MediciFamilie,0.993918386039887,0.9757904274454109,0.9158039957732641,0.982307767878808,0.9999999999999999
