Siruta,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
1017,0.948636696980402,1.1228380344122297,1.741883669139515,2.3059620171926536,1.7268617304710305
1071,-1.0230067362629809e-17,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
1151,-0.030396013718784975,0.05942315337749516,0.028012037375061128,0.0,0.007446221593692041
1213,0.06174824140584438,0.21832422755509917,0.25352146260722613,0.5066807791849973,0.24460698143884216
1348,0.08478430518700172,0.2733284455396544,0.20090259671972097,0.4018046414504891,0.24460698143884216
1455,-0.030396013718784975,0.16332000957054393,0.04304599905720546,0.19860712458987947,0.007446221593692041
1696,0.038712177624687046,0.12053895113811208,0.04304599905720546,0.1560011936352355,0.18531679147755462
1794,0.015676113843529703,-0.056696862367677,0.05056297989827763,-0.07341535765900115,0.1260266015162671
1874,0.22300068787394578,0.25499370621146933,0.36627617522330863,0.4280236758841161,0.4817677412839923
1936,-0.030396013718784975,-0.0628084421437387,-0.0020558859892275375,-0.08980225418001805,0.007446221593692041
2130,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
2309,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
2381,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
2577,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
2915,-0.04191404560936365,-0.0628084421437387,-0.0772256943999492,-0.08980225418001805,-0.022198873386951725
2988,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08652487487581467,-0.08148906334823926
3039,-0.05343207749994232,-0.0628084421437387,-0.0772256943999492,-0.08980225418001805,-0.05184396836759549
3397,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
3459,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
3761,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
3805,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08652487487581467,-0.08148906334823926
3841,-0.07646814128109966,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.11113415832888303
3958,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08652487487581467,-0.05184396836759549
4008,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
4106,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
4142,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08652487487581467,-0.08148906334823926
4188,-0.05343207749994232,-0.0628084421437387,-0.0772256943999492,-0.08652487487581467,-0.05184396836759549
4240,-0.05343207749994232,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.05184396836759549
4268,-0.06495010939052098,-0.0628084421437387,-0.08474267524102136,-0.08652487487581467,-0.08148906334823926
4302,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
4366,-0.030396013718784975,-0.05058528259161531,-0.0546747518767327,0.031460780075507046,0.007446221593692041
4482,-0.06495010939052098,-0.056696862367677,-0.0997766369231657,-0.07341535765900115,-0.08148906334823926
4525,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
4703,-0.06495010939052098,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.08148906334823926
4767,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
4927,-0.018877981828206308,-0.0628084421437387,-0.04715777103566053,-0.08652487487581467,0.03709131657433581
4981,-0.06495010939052098,-0.0628084421437387,-0.10729361776423786,-0.08980225418001805,-0.08148906334823926
5103,-0.030396013718784975,-0.0628084421437387,-0.0772256943999492,-0.08980225418001805,0.007446221593692041
5167,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
5210,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
5309,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
5336,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08652487487581467,-0.08148906334823926
5577,-0.06495010939052098,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.08148906334823926
5700,-0.05343207749994232,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.05184396836759549
5755,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
5826,-0.06495010939052098,-0.0628084421437387,-0.10729361776423786,-0.08980225418001805,-0.08148906334823926
6048,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
6119,-0.07646814128109966,-0.0628084421437387,-0.10729361776423786,-0.08980225418001805,-0.11113415832888303
6164,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
6217,-0.05343207749994232,-0.0628084421437387,-0.0772256943999492,-0.08652487487581467,-0.05184396836759549
6271,-0.04191404560936365,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.022198873386951725
6397,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
6468,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
6547,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
6592,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
6627,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
6761,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08652487487581467,-0.08148906334823926
6930,-0.06495010939052098,-0.0628084421437387,-0.10729361776423786,-0.08980225418001805,-0.08148906334823926
6976,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
7044,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
7099,-0.05343207749994232,-0.0628084421437387,-0.08474267524102136,-0.08324749557161129,-0.05184396836759549
7197,-0.06495010939052098,-0.0628084421437387,-0.08474267524102136,-0.08652487487581467,-0.08148906334823926
7348,-0.05343207749994232,-0.0628084421437387,-0.0772256943999492,-0.08980225418001805,-0.05184396836759549
7384,-0.05343207749994232,-0.0628084421437387,-0.08474267524102136,-0.08652487487581467,-0.05184396836759549
7446,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
7767,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
7810,-0.06495010939052098,-0.0628084421437387,-0.0772256943999492,-0.08980225418001805,-0.08148906334823926
7865,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08652487487581467,-0.05184396836759549
7945,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
8014,-0.04191404560936365,-0.0628084421437387,-0.06970871355887703,-0.08652487487581467,-0.022198873386951725
8096,-0.018877981828206308,-0.0628084421437387,0.035529018216133294,-0.08980225418001805,0.03709131657433581
8158,-0.05343207749994232,-0.0628084421437387,-0.0772256943999492,-0.08980225418001805,-0.05184396836759549
8229,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
8354,-0.05343207749994232,-0.0628084421437387,-0.08474267524102136,-0.08980225418001805,-0.05184396836759549
8425,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08652487487581467,-0.08148906334823926
8826,-0.05343207749994232,-0.0628084421437387,-0.08474267524102136,-0.08652487487581467,-0.05184396836759549
9019,-0.06495010939052098,-0.0628084421437387,-0.0997766369231657,-0.08980225418001805,-0.08148906334823926
9026,-0.06495010939052098,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.08148906334823926
9262,3.2867971707678723,2.8707498503658737,6.222004250418526,2.8696712575156353,4.543145753632189
9280,-0.030396013718784975,-0.0628084421437387,-0.062191732717804864,-0.08980225418001805,0.007446221593692041
9333,-0.04191404560936365,-0.0628084421437387,-0.06970871355887703,-0.08980225418001805,-0.022198873386951725
9360,-0.05343207749994232,-0.0628084421437387,-0.09225965608209354,-0.08980225418001805,-0.05184396836759549
9397,0.038712177624687046,-0.0628084421437387,-0.0321238093535162,-0.08980225418001805,0.09638150653562334
9459,0.2114826559833671,-0.056696862367677,0.38131013690545296,-0.08652487487581467,-0.022198873386951725
9495,0.08478430518700172,-0.056696862367677,0.028012037375061128,-0.08324749557161129,0.24460698143884216
9538,0.26907281543626044,0.047199993825371774,0.14076674999114364,0.1920523659814727,0.2149618864581984
9574,0.1423744646398951,0.028865254497186698,0.11821580746792712,0.024906021467100282,0.18531679147755462
