,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,71.52168949771693,224.96366057838674,275.7979452054799,1070.1874048706286,46.39840182648403
NrMedici_Public,224.96366057838674,723.4745053272471,876.7427701674286,3433.3898401826605,145.15487062404873
PersonalMediu_privat,275.7979452054799,876.7427701674286,1076.379375951295,4194.272450532731,178.33828006088294
PersonalMediu_public,1070.1874048706286,3433.3898401826605,4194.272450532731,16500.97146118718,690.8538812785382
MediciFamilie,46.39840182648403,145.15487062404873,178.33828006088294,690.8538812785382,30.306316590563153
