,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.4830418172681007,0.9024670988731553,0.5255007949086642,0.9006654197922337
NrMedici_Public,0.48304181726810075,0.9999999999999998,0.46409180840891834,0.9363467951846258,0.5130833984758458
PersonalMediu_privat,0.9024670988731555,0.46409180840891834,0.9999999999999999,0.5910180390572193,0.7901138980198396
PersonalMediu_public,0.5255007949086642,0.9363467951846259,0.5910180390572193,0.9999999999999999,0.505552700222757
MediciFamilie,0.9006654197922338,0.5130833984758458,0.7901138980198394,0.505552700222757,0.9999999999999999
