,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.965050463403192,0.992228263264241,0.9778350892694346,0.9951014023606806
NrMedici_Public,0.965050463403192,1.0,0.9779071968967016,0.9913391260342347,0.9698863070442788
PersonalMediu_privat,0.9922282632642409,0.9779071968967016,1.0,0.988510425131265,0.992133887066098
PersonalMediu_public,0.9778350892694345,0.9913391260342347,0.9885104251312649,1.0,0.9782091187268319
MediciFamilie,0.9951014023606808,0.9698863070442787,0.992133887066098,0.9782091187268319,1.0
