,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9945492514306556,0.9989220547704138,0.9917868702064689,0.9954040752306346
NrMedici_Public,0.9945492514306556,0.9999999999999998,0.9935818334139057,0.998880764908121,0.9927186449965179
PersonalMediu_privat,0.998922054770414,0.9935818334139057,0.9999999999999999,0.9905393161520105,0.9936752929841435
PersonalMediu_public,0.9917868702064689,0.998880764908121,0.9905393161520106,1.0,0.9912169249346955
MediciFamilie,0.9954040752306346,0.9927186449965179,0.9936752929841435,0.9912169249346954,0.9999999999999999
