,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,0.9999999999999999,0.9961970736538167,0.9995014116255475,0.9992672902309302,0.9996373948945753
NrMedici_Public,0.9961970736538168,1.0,0.9966820318684072,0.9977343253363237,0.9952257712753689
PersonalMediu_privat,0.9995014116255476,0.9966820318684073,1.0,0.9996368939958736,0.9983988830043921
PersonalMediu_public,0.9992672902309302,0.9977343253363236,0.9996368939958735,0.9999999999999999,0.9981170598821005
MediciFamilie,0.9996373948945754,0.9952257712753689,0.998398883004392,0.9981170598821005,1.0
