,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9844621291621976,0.9975536087574489,0.9723294938730126,0.9903547156423099
NrMedici_Public,0.9844621291621976,1.0,0.9901088383874532,0.9970580876044628,0.9835100184692314
PersonalMediu_privat,0.9975536087574488,0.9901088383874532,1.0,0.9795099981773974,0.9902979247841991
PersonalMediu_public,0.9723294938730125,0.9970580876044628,0.9795099981773974,1.0,0.9797144876383412
MediciFamilie,0.9903547156423099,0.9835100184692313,0.9902979247841991,0.9797144876383412,1.0
