,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,174.56229508196685,282.4087431694001,506.26120218579206,858.8986338797814,66.80218579234972
NrMedici_Public,282.4087431694001,487.68251366120364,825.4609289617495,1424.5860655737672,110.36229508196749
PersonalMediu_privat,506.26120218579206,825.4609289617495,1472.709836065572,2501.81912568306,194.40273224043736
PersonalMediu_public,858.8986338797814,1424.5860655737672,2501.81912568306,4281.546448087433,330.67568306010867
MediciFamilie,66.80218579234972,110.36229508196749,194.40273224043736,330.67568306010867,26.165573770491832
