,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,25.71138996139007,128.74050836550805,71.87097812097822,600.7594916344929,26.1438223938225
NrMedici_Public,128.74050836550805,669.1254021878993,367.65106177606094,3104.264237451751,131.00176962676932
PersonalMediu_privat,71.87097812097822,367.65106177606094,205.54150579150527,1729.8219111969045,73.15926640926651
PersonalMediu_public,600.7594916344929,3104.264237451751,1729.8219111969045,14659.562339124843,611.7324646074661
MediciFamilie,26.1438223938225,131.00176962676932,73.15926640926651,611.7324646074661,26.594272844272865
