,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9960984904926383,0.9992653653313365,0.9823350444558391,0.9971022407085797
NrMedici_Public,0.9960984904926384,1.0,0.9961004199997238,0.9916271518725943,0.9951857404952462
PersonalMediu_privat,0.9992653653313365,0.9961004199997238,1.0,0.9809806843497514,0.9957132226687732
PersonalMediu_public,0.9823350444558391,0.9916271518725943,0.9809806843497514,0.9999999999999999,0.985034475028397
MediciFamilie,0.9971022407085797,0.9951857404952461,0.9957132226687733,0.985034475028397,1.0
