,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9837641572918572,0.9978640635380992,0.9800949296280081,0.9959552576038002
NrMedici_Public,0.9837641572918573,0.9999999999999999,0.9864577966630477,0.9989046265262616,0.9845226193729284
PersonalMediu_privat,0.9978640635380991,0.9864577966630476,1.0,0.982098730608724,0.9948230641712223
PersonalMediu_public,0.9800949296280081,0.9989046265262616,0.982098730608724,1.0,0.9803434231775339
MediciFamilie,0.9959552576038002,0.9845226193729285,0.9948230641712225,0.9803434231775339,1.0
