,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,109.17582079932346,245.64570775136752,302.2382667646823,903.8251431965286,77.02403005799233
NrMedici_Public,245.64570775136752,593.4605394605414,694.4935064935066,2136.356561049004,175.02997002997066
PersonalMediu_privat,302.2382667646823,694.4935064935066,849.8636363636364,2549.2442334395128,214.2597402597403
PersonalMediu_public,903.8251431965286,2136.356561049004,2549.2442334395128,7825.4827091617535,641.0367707763938
MediciFamilie,77.02403005799233,175.02997002997066,214.2597402597403,641.0367707763938,54.87712287712285
