,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9826993240250385,0.9824582576831584,0.9842684990544113,0.9930791363206933
NrMedici_Public,0.9826993240250385,0.9999999999999999,0.9933015397421814,0.9988291514107738,0.9935354042505413
PersonalMediu_privat,0.9824582576831583,0.9933015397421814,1.0,0.9965047718555915,0.9936067408882019
PersonalMediu_public,0.9842684990544113,0.9988291514107738,0.9965047718555916,1.0,0.9945594142540971
MediciFamilie,0.9930791363206933,0.9935354042505413,0.9936067408882019,0.9945594142540971,0.9999999999999998
