,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,0.9999999999999998,0.9929305862005007,0.9971978281989409,0.9940619726781352,0.9957663539443686
NrMedici_Public,0.9929305862005008,1.0,0.9966921677589284,0.9978909097756996,0.9940542622084703
PersonalMediu_privat,0.997197828198941,0.9966921677589283,0.9999999999999999,0.9942874030550639,0.9942865061227383
PersonalMediu_public,0.9940619726781351,0.9978909097756996,0.994287403055064,0.9999999999999999,0.9928932776916327
MediciFamilie,0.9957663539443686,0.9940542622084704,0.9942865061227383,0.9928932776916327,0.9999999999999998
