,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9874113731093113,0.9968492376891634,0.9912986570074575,0.9969463342090901
NrMedici_Public,0.9874113731093114,0.9999999999999998,0.9891418951110205,0.9979706463859865,0.9903790019832234
PersonalMediu_privat,0.9968492376891634,0.9891418951110205,0.9999999999999999,0.99382836156061,0.9929832242508612
PersonalMediu_public,0.9912986570074576,0.9979706463859863,0.99382836156061,1.0,0.9929880772533543
MediciFamilie,0.9969463342090903,0.9903790019832234,0.992983224250861,0.9929880772533544,1.0
