,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,149.691346153846,411.1754807692308,653.7499999999991,1110.854326923076,138.5538461538466
NrMedici_Public,411.1754807692308,1142.4711538461593,1807.1249999999998,3084.521634615374,380.6442307692302
PersonalMediu_privat,653.7499999999991,1807.1249999999998,2882.71875,4875.953125000002,609.2656250000003
PersonalMediu_public,1110.854326923076,3084.521634615374,4875.953125000002,8341.825961538447,1028.0699519230768
MediciFamilie,138.5538461538466,380.6442307692302,609.2656250000003,1028.0699519230768,129.75384615384615
