,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9883706958126868,0.9908677149808273,0.9825014086732158,0.9884447459140207
NrMedici_Public,0.9883706958126868,1.0,0.9941687724838665,0.9966070179290906,0.9657110766806853
PersonalMediu_privat,0.9908677149808274,0.9941687724838665,1.0,0.9883646297629285,0.9665853821878058
PersonalMediu_public,0.9825014086732158,0.9966070179290906,0.9883646297629285,1.0,0.9597448690446684
MediciFamilie,0.9884447459140207,0.9657110766806855,0.9665853821878058,0.9597448690446685,1.0
