,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,0.9999999999999998,0.9889671633532473,0.9940070389978971,0.9851133314732954,0.9965923781902085
NrMedici_Public,0.9889671633532475,0.9999999999999999,0.9935229270986836,0.9937033303213224,0.9802873974603294
PersonalMediu_privat,0.9940070389978973,0.9935229270986837,1.0,0.9952202344137187,0.9874049773649981
PersonalMediu_public,0.9851133314732953,0.9937033303213224,0.9952202344137187,1.0,0.9769331966741915
MediciFamilie,0.9965923781902085,0.9802873974603294,0.9874049773649983,0.9769331966741915,1.0
