,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,5606.617362817366,11046.368796068778,13468.665438165443,16609.001228501224,1608.6604422604441
NrMedici_Public,11046.368796068778,21777.566584766668,26540.930466830512,32748.278624078583,3167.9137592137467
PersonalMediu_privat,13468.665438165443,26540.930466830512,32363.217854217877,39911.27002457007,3864.0724815724793
PersonalMediu_public,16609.001228501224,32748.278624078583,39911.27002457007,49489.15724815723,4775.836609336614
MediciFamilie,1608.6604422604441,3167.9137592137467,3864.0724815724793,4775.836609336614,463.08845208845236
