,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9815189375666682,0.9886464490233763,0.9785372467078057,0.9997979612448599
NrMedici_Public,0.9815189375666682,1.0,0.9913620708062805,0.9911614916838145,0.982040375219597
PersonalMediu_privat,0.9886464490233762,0.9913620708062805,0.9999999999999999,0.9965317145794175,0.9895221384331676
PersonalMediu_public,0.9785372467078057,0.9911614916838144,0.9965317145794175,1.0,0.9797312634869221
MediciFamilie,0.99979796124486,0.9820403752195971,0.9895221384331675,0.9797312634869221,1.0
