,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9970833535412471,0.9956628995774175,0.9977045001072858,0.9989882472098888
NrMedici_Public,0.997083353541247,1.0,0.9928593457156252,0.9990407834445157,0.9951555564418026
PersonalMediu_privat,0.9956628995774175,0.9928593457156251,1.0,0.995933592217692,0.9916608391530675
PersonalMediu_public,0.9977045001072858,0.9990407834445157,0.9959335922176921,1.0,0.9947971580368565
MediciFamilie,0.9989882472098887,0.9951555564418025,0.9916608391530675,0.9947971580368565,1.0
