,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,2531.654639175257,12198.329896907242,4775.188512518415,21105.299705449237,1088.1818851251815
NrMedici_Public,12198.329896907242,59654.76288659793,23187.970544919037,102853.74521354996,5155.057437407939
PersonalMediu_privat,4775.188512518415,23187.970544919037,9047.32463707129,40052.29139490842,2035.410477593097
PersonalMediu_public,21105.299705449237,102853.74521354996,40052.29139490842,177745.43919629627,8966.951293919601
MediciFamilie,1088.1818851251815,5155.057437407939,2035.410477593097,8966.951293919601,477.7030296654745
