,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9942743601939016,0.995204241886106,0.9940957146424731,0.9941687758164273
NrMedici_Public,0.9942743601939015,1.0,0.9957823766774243,0.9991590734821102,0.988636203385382
PersonalMediu_privat,0.995204241886106,0.9957823766774244,0.9999999999999999,0.9943237732049929,0.9961974352623634
PersonalMediu_public,0.9940957146424731,0.9991590734821103,0.9943237732049929,1.0,0.9881707248823737
MediciFamilie,0.9941687758164273,0.988636203385382,0.9961974352623633,0.9881707248823738,1.0
