,KS,Shapiro,Anderson,Chi2
Alcoholic Beverages,False,False,False,False
Cereals - Excluding Beer,False,False,False,False
Eggs,False,False,False,False
Fish-Seafood,False,False,False,False
Fruits - Excluding Wine,False,False,False,False
Meat,False,False,False,False
Milk - Excluding Butter,False,False,False,False
Spices,False,False,False,False
Sugar & Sweeteners,False,True,True,False
Vegetable Oils,False,False,True,False
Vegetables,False,False,False,False
