,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,176.36089116596787,354.6009160068317,878.7380065207275,1445.4154634373579,87.05239869585479
NrMedici_Public,354.6009160068317,730.9691818040695,1788.4333954354927,2988.7321844434223,175.77526781555574
PersonalMediu_privat,878.7380065207275,1788.4333954354927,4416.9229156963265,7299.707033069397,434.3304611085234
PersonalMediu_public,1445.4154634373579,2988.7321844434223,7299.707033069397,12299.70749883557,718.101071262228
MediciFamilie,87.05239869585479,175.77526781555574,434.3304611085234,718.101071262228,43.372845831392695
