,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9974408729764503,0.9936088568587913,0.9962589192535912,0.9985437686709299
NrMedici_Public,0.9974408729764502,1.0,0.9934387937311295,0.9964848288394873,0.9957178060275269
PersonalMediu_privat,0.9936088568587913,0.9934387937311295,1.0,0.9968406792778592,0.9917727695846335
PersonalMediu_public,0.9962589192535912,0.9964848288394873,0.9968406792778592,1.0,0.9937188520347218
MediciFamilie,0.9985437686709299,0.9957178060275268,0.9917727695846335,0.9937188520347218,1.0
