,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,500.4475703324807,728.5760869565225,438.40984654731415,2128.7487212276264,155.10102301790312
NrMedici_Public,728.5760869565225,1143.2186700767284,674.5639386189246,3413.7730179028113,243.47570332480817
PersonalMediu_privat,438.40984654731415,674.5639386189246,428.55498721227656,2023.982736572891,154.5255754475703
PersonalMediu_public,2128.7487212276264,3413.7730179028113,2023.982736572891,10561.449275362289,730.5905797101445
MediciFamilie,155.10102301790312,243.47570332480817,154.5255754475703,730.5905797101445,57.98635976129583
