,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,46.46128590971259,140.55485636114875,202.33570451436427,634.903146374829,33.311354309165566
NrMedici_Public,140.55485636114875,433.98645690834604,615.4865937072497,1964.6168262653891,100.13105335157323
PersonalMediu_privat,202.33570451436427,615.4865937072497,890.573597811218,2773.730916552673,144.91463748290042
PersonalMediu_public,634.903146374829,1964.6168262653891,2773.730916552673,8917.497811217485,451.6867305061566
MediciFamilie,33.311354309165566,100.13105335157323,144.91463748290042,451.6867305061566,24.03830369357045
