,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,116.74545454545473,255.24090909090856,318.67272727272723,830.9045454545472,54.440909090909
NrMedici_Public,255.24090909090856,654.2999999999993,715.8075757575756,2027.5060606060642,120.00303030303053
PersonalMediu_privat,318.67272727272723,715.8075757575756,880.6585858585865,2321.526262626267,147.91464646464658
PersonalMediu_public,830.9045454545472,2027.5060606060642,2321.526262626267,6429.225252525275,389.3474747474751
MediciFamilie,54.440909090909,120.00303030303053,147.91464646464658,389.3474747474751,25.643434343434354
