,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9461164013140704,0.9755118631979988,0.9657567584867878,0.9663613968531043
NrMedici_Public,0.9461164013140704,1.0,0.9355829732122977,0.9795023022078082,0.9358814891491815
PersonalMediu_privat,0.9755118631979988,0.9355829732122977,1.0,0.9716988998025472,0.894470069016988
PersonalMediu_public,0.9657567584867877,0.9795023022078082,0.9716988998025473,1.0,0.9235767637607799
MediciFamilie,0.9663613968531042,0.9358814891491813,0.8944700690169879,0.92357676376078,0.9999999999999999
