,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
NrMedici_Privat,1.0,0.9913969154272111,0.9936383387402768,0.991993442909032,0.9956686268626413
NrMedici_Public,0.9913969154272111,1.0,0.9924206473414428,0.9973944992221359,0.9885480240764423
PersonalMediu_privat,0.9936383387402768,0.9924206473414429,1.0,0.9884257375174228,0.9940166357845348
PersonalMediu_public,0.991993442909032,0.9973944992221359,0.9884257375174227,1.0,0.9888053075880684
MediciFamilie,0.9956686268626412,0.9885480240764423,0.9940166357845347,0.9888053075880685,0.9999999999999999
